Backbone ,Pred Size,Stride,Image Size,Pre-trained,Custom Classifier,Version,Train F1,Val F1,Test F1,May F1,May Weed Precision,May Weed Recall,June F1,June Weed Precision,June Weed recall
ResNet50,8,4,128,No,TRUE,0,0.9435,0.8864,0.8888,0.1788,0.5007,0.9973,0.1667,0.5,1
Wide ResNet50 2,8,4,128,No,TRUE,2,0.919,0.8814,0.8801,0.1667,0.5,1,0.1895,0.5015,0.9996
ResNet18,8,4,128,No,TRUE,3,0.9824,0.9252,0.9291,0.209,0.505,0.9811,0.176,0.5004,0.9958
ResNet50,8,4,128,ImageNet,TRUE,5,0.9879,0.9677,0.9641,0.1671,0.5001,0.9999,0.1724,0.501,0.9994
ResNet18,8,4,128,ImageNet,TRUE,6,0.9877,0.959,0.9642,0.2537,0.53,0.99,0.1947,0.5088,0.9951
Wide ResNet50 2,8,4,128,ImageNet,TRUE,8,0.9882,0.957,0.9599,0.2251,0.5,1,0.1711,0.5012,0.998
MogaNet tiny,8,4,128,No,FALSE,11,0.9833,0.8992,0.8915,0.2076,0.4786,0.8866,0.1952,0.4965,0.9277
ResNet18,8,8,128,ImageNet,TRUE,6,0.9877,0.959,0.9642,0.2531,0.5317,0.9948,0.1954,0.5093,0.9954
ResNet18,16,16,128,ImageNet,TRUE,6,0.9877,0.959,0.9642,0.2521,0.5307,0.9899,0.1938,0.5087,0.9952
ResNet18,32,32,128,ImageNet,TRUE,6,0.9877,0.959,0.9642,0.249,0.5295,0.9893,0.1908,0.5072,0.993
